Cd mon;Mon dest;Fecha efectiva;Tipo cambio
USD;COP;06/09/2023;4089,46
USD;COP;05/09/2023;4063,36
USD;COP;04/09/2023;4063,36
USD;COP;03/09/2023;4063,36
USD;COP;02/09/2023;4063,36
USD;COP;01/09/2023;4099,2
USD;COP;31/08/2023;4085,33
USD;COP;30/08/2023;4110,08
USD;COP;29/08/2023;4111,52
USD;COP;28/08/2023;4117,78
USD;COP;27/08/2023;4117,78
USD;COP;26/08/2023;4117,78
USD;COP;25/08/2023;4076,9
USD;COP;24/08/2023;4085,89
USD;COP;23/08/2023;4120,07
USD;COP;22/08/2023;4124,04
USD;COP;21/08/2023;4124,04
USD;COP;20/08/2023;4124,04
USD;COP;19/08/2023;4124,04
USD;COP;18/08/2023;4093,96
USD;COP;17/08/2023;4130,33
USD;COP;16/08/2023;4096,08
USD;COP;15/08/2023;4029,95
USD;COP;14/08/2023;3973,41
USD;COP;13/08/2023;3973,41
USD;COP;12/08/2023;3973,41
USD;COP;11/08/2023;3955,23
USD;COP;10/08/2023;4031,65
USD;COP;09/08/2023;4076,46
USD;COP;08/08/2023;4077,9
USD;COP;07/08/2023;4077,9
USD;COP;06/08/2023;4077,9
USD;COP;05/08/2023;4077,9
USD;COP;04/08/2023;4144,79
USD;COP;03/08/2023;4056,99
USD;COP;02/08/2023;4007,44
USD;COP;01/08/2023;3898,48
USD;COP;31/07/2023;3923,49
USD;COP;30/07/2023;3923,49
USD;COP;29/07/2023;3923,49
USD;COP;28/07/2023;3932,04
USD;COP;27/07/2023;3951,1
USD;COP;26/07/2023;3978,83
USD;COP;25/07/2023;3950,58
USD;COP;24/07/2023;3971,38
USD;COP;23/07/2023;3971,38
USD;COP;22/07/2023;3971,38
USD;COP;21/07/2023;3980,2
USD;COP;20/07/2023;3980,2
USD;COP;19/07/2023;3991,15
USD;COP;18/07/2023;4069,39
USD;COP;17/07/2023;4089,3
USD;COP;16/07/2023;4089,3
USD;COP;15/07/2023;4089,3
USD;COP;14/07/2023;4102,13
USD;COP;13/07/2023;4128,67
USD;COP;12/07/2023;4193,59
USD;COP;11/07/2023;4154,06
USD;COP;10/07/2023;4189,96
USD;COP;09/07/2023;4189,96
USD;COP;08/07/2023;4189,96
USD;COP;07/07/2023;4195,93
